registryId,legalUnderwriter,insurerGroup,brandOrProgram,distributionType,productScope,distinctRateSourceId,quoteUrl,publicPhoneRoute,licensedIntermediary,requirements,automationNotes,status,sourceUrl,lastVerifiedAt,evidenceArtifact,verifiedDuringHackathonWindow
verassure-insurance-company,Verassure Insurance Company,Northbridge,Northbridge (Verassure),broker,unknown,verassure-insurance-company,,,,licence;VIN;human,Validate active status and PPA relevance.,unresolved,,2026-08-09T18:26:27.165Z,,false
zenith-insurance-company,Zenith Insurance Company,Northbridge,Zenith,broker,nonstandard_PPA,zenith-insurance-company,,,,licence;VIN;human,,unresolved,,2026-08-09T18:26:27.165Z,,false
optimum-insurance-company-inc,Optimum Insurance Company Inc.,Optimum,Optimum,broker,standard_PPA,optimum-insurance-company-inc,,,,licence;VIN;human,,unresolved,,2026-08-09T18:26:27.165Z,,false
pure-insurance,PURE Insurance,PURE,PURE,broker,high_net_worth,pure-insurance,,,,licence;VIN;human,,unresolved,,2026-08-09T18:26:27.165Z,,false
peel-mutual-insurance-company,Peel Mutual Insurance Company,Peel,Peel Mutual,mutual,standard_PPA,peel-mutual-insurance-company,,,,licence;VIN;human,,unresolved,,2026-08-09T18:26:27.165Z,,false
the-portage-la-prairie-mutual-insurance-company,The Portage la Prairie Mutual Insurance Company,Portage,Portage Mutual,broker,standard_PPA,the-portage-la-prairie-mutual-insurance-company,,,,licence;VIN;human,,unresolved,,2026-08-09T18:26:27.165Z,,false
coachman-insurance-company,Coachman Insurance Company,SGI,Coachman,broker,nonstandard_PPA,coachman-insurance-company,,,,licence;VIN;human,,unresolved,,2026-08-09T18:26:27.165Z,,false
sgi-canada-insurance-services-ltd,SGI CANADA Insurance Services Ltd.,SGI,SGI Canada,broker,standard_PPA,sgi-canada-insurance-services-ltd,,,,licence;VIN;human,,unresolved,,2026-08-09T18:26:27.165Z,,false
endurance-specialty-insurance-company,Endurance Specialty Insurance Company,Sompo,Endurance (Sompo),broker,unknown,endurance-specialty-insurance-company,,,,licence;VIN;human,Specialty/commercial-leaning; validate PPA relevance.,unresolved,,2026-08-09T18:26:27.165Z,,false
sompo-japan-insurance-inc,Sompo Japan Insurance Inc.,Sompo,Sompo Japan,broker,unknown,sompo-japan-insurance-inc,,,,licence;VIN;human,Specialty/commercial-leaning; validate PPA relevance.,unresolved,,2026-08-09T18:26:27.165Z,,false
primmum-insurance-company,Primmum Insurance Company,TD,TD Insurance (Primmum),direct,standard_PPA,primmum-insurance-company,,,,licence;VIN,,unresolved,,2026-08-09T18:26:27.165Z,,false
security-national-insurance-company,Security National Insurance Company,TD,TD Insurance (Security National),affinity,standard_PPA,security-national-insurance-company,,,,licence;VIN;membership,Historically affinity/group-plan distributed; validate current channel.,unresolved,,2026-08-09T18:26:27.165Z,,false
td-general-insurance-company,TD General Insurance Company,TD,TD Insurance,direct,standard_PPA,td-general-insurance-company,https://www.tdinsurance.com,,,licence;VIN,,unresolved,https://www.tdinsurance.com,2026-08-09T18:26:27.165Z,,false
tokio-marine-and-nichido-fire-insurance-co-ltd,"Tokio Marine and Nichido Fire Insurance Co., Ltd.",Tokio,Tokio Marine,broker,unknown,tokio-marine-and-nichido-fire-insurance-co-ltd,,,,licence;VIN;human,Specialty/commercial-leaning; validate PPA relevance.,unresolved,,2026-08-09T18:26:27.165Z,,false
the-dominion-of-canada-general-insurance-company,The Dominion of Canada General Insurance Company,Travelers,Travelers (Dominion),broker,standard_PPA,the-dominion-of-canada-general-insurance-company,,,,licence;VIN;human,,unresolved,,2026-08-09T18:26:27.165Z,,false
the-wawanesa-mutual-insurance-company,The Wawanesa Mutual Insurance Company,Wawanesa,Wawanesa,broker,standard_PPA,the-wawanesa-mutual-insurance-company,,,,licence;VIN;human,Brief marks broker channel for Ontario; validate whether wawanesa.com offers direct ON PPA quoting.,unresolved,,2026-08-09T18:26:27.165Z,,false
xl-specialty-insurance-company,XL Specialty Insurance Company,XL,XL (AXA XL),broker,unknown,xl-specialty-insurance-company,,,,licence;VIN;human,Specialty/commercial-leaning; validate PPA relevance.,unresolved,,2026-08-09T18:26:27.165Z,,false
zurich-insurance-company,Zurich Insurance Company,Zurich,Zurich,broker,unknown,zurich-insurance-company,,,,licence;VIN;human,Specialty/broker routes for Zurich itself; the Ontario-car-relevant route is Square One (see supplemental row) which underwrites through Zurich.,unresolved,,2026-08-09T18:26:27.165Z,,false
zurich-insurance-company-via-square-one-insurance-services-mga,Zurich Insurance Company (via Square One Insurance Services MGA),Zurich,Square One,MGA_program,standard_PPA,zurich-insurance-company-via-square-one-insurance-services-mga,https://www.squareone.ca,,,licence;VIN,"Playwright probe priority 2 (§3a.5) — online, direct, modern flow, underwritten by Zurich. Named in brief's Appendix A note under Zurich, not as its own Appendix A group.",unresolved,https://www.squareone.ca,2026-08-09T18:26:27.165Z,,false
rbc-insurance,RBC Insurance,RBC,RBC Insurance,direct,standard_PPA,rbc-insurance,https://www.rbcinsurance.com,,,licence;VIN,Named in brief's direct/exclusive-agent route strategy but not among the 32 Appendix A groups; added for market completeness.,unresolved,https://www.rbcinsurance.com,2026-08-09T18:26:27.165Z,,false
lowestrates-ca-brokerage-aggregator,LowestRates.ca (brokerage aggregator),LowestRates.ca,LowestRates.ca,aggregator,standard_PPA,lowestrates-ca-brokerage-aggregator,https://www.lowestrates.ca,,,licence,"Broad broker engine A. Brief names its panel as including CAA, Coachman, Economical, Gore, Pafco, Pembridge, SGI, Travelers, Zenith — those carriers already have their own registry rows; do not double-count, cross-reference distinct_rate_source_id instead. Verify panel live.",unresolved,https://www.lowestrates.ca,2026-08-09T18:26:27.165Z,,false
rates-ca-brokerage-aggregator,Rates.ca (brokerage aggregator),Rates.ca,Rates.ca,aggregator,standard_PPA,rates-ca-brokerage-aggregator,https://www.rates.ca,,,licence,Alternative broad broker engine to LowestRates.ca per route strategy; pick one as primary live probe.,unresolved,https://www.rates.ca,2026-08-09T18:26:27.165Z,,false
surex-brokerage-aggregator,Surex (brokerage aggregator),Surex,Surex,aggregator,standard_PPA,surex-brokerage-aggregator,https://www.surex.com,,,licence,"Broad broker engine B. Brief names its panel as including Aviva, Intact, Jevco, Wawanesa, CAA, Coachman, Definity/Economical, Gore, Pafco, Pembridge, SGI, Travelers — cross-reference existing rows rather than double-counting; panel subject to live profile.",unresolved,https://www.surex.com,2026-08-09T18:26:27.165Z,,false
thinkinsure-ribo-licensed-broker,ThinkInsure (RIBO-licensed broker),ThinkInsure,ThinkInsure,broker,standard_PPA,thinkinsure-ribo-licensed-broker,https://www.thinkinsure.ca,,,licence;human,"Independent broker verifier. Ontario law requires RIBO-licensed brokers to disclose their full carrier list and obtained quotes on request — ask once, preserve as evidence (bounded-attempt policy, §Appendix).",unresolved,https://www.thinkinsure.ca,2026-08-09T18:26:27.165Z,,false
onlia-insurance-company-aviva-backed-digital-insurer,Onlia Insurance Company (Aviva-backed digital insurer),Onlia,Onlia,direct,standard_PPA,onlia-insurance-company-aviva-backed-digital-insurer,https://www.onlia.ca,,,licence;VIN,,unresolved,https://www.onlia.ca,2026-08-09T18:26:27.165Z,,false
scoop-insurance-independent-broker-verifier-candidate,Scoop Insurance (independent broker verifier candidate),Scoop,Scoop,broker,standard_PPA,scoop-insurance-independent-broker-verifier-candidate,,,,licence;human,Named as an independent-broker-verifier candidate in the brief; confirm live domain and RIBO licensing during verification.,unresolved,,2026-08-09T18:26:27.165Z,,false
hagerty-canada-collector-program-underwritten-by-aviva,"Hagerty Canada (collector program, underwritten by Aviva)",Hagerty,Hagerty,MGA_program,collector,hagerty-canada-collector-program-underwritten-by-aviva,https://www.hagerty.ca,,,licence;VIN,"Collector-vehicle program. Participant owns no vehicle, so this route is expected to resolve ineligible/specialty_only regardless of underwriting depth — a useful contrast case (§4 route-planner example).",unresolved,https://www.hagerty.ca,2026-08-09T18:26:27.165Z,,false
